2167814525	36	174	4865	1	LU
2623494704	36	280	5057	1	LU
139661778	3	7	43	2	LU
263920267	8	12	407	2	LU
2149886747	16	78	883	2	LU
2899685935	8	34	216	2	LU
2157574998	17	68	986	2	LU
2045642238	3	6	108	3	LU
2118151421	6	13	229	3	LU
29529817	5	8	111	3	LU
2225140935	1	1	12	3	LU
2558352914	1	1	10	3	LU
137199790	6	14	110	3	LU
263168671	3	5	20	3	LU
2305801943	11	35	272	3	LU
2953301407	4	6	115	3	LU
2005695814	3	5	27	4	LU
2162526945	1	2	1	4	LU
2784082924	1	1	1	4	LU
2979153657	1	1	5	4	LU
2765778400	0	1	0	4	LU
3006169085	0	1	0	4	LU
2039149544	2	6	51	4	LU
2036011301	2	4	9	4	LU
2163179259	5	22	106	4	LU
